name,rank,matches,wins,losses,draws,year,win_perc,loss_perc,draw_perc,era
The Barbarian,2,174,103,71,0,1990,59.2,40.8,0.0,Golden Era
The Ultimate Warrior,3,173,156,17,0,1990,90.17,9.83,0.0,Golden Era
Marty Jannetty,4,169,117,46,6,1990,69.23,27.22,3.55,Golden Era
Bret Hart,5,167,94,42,31,1990,56.29,25.15,18.56,Golden Era
Ted DiBiase,6,167,75,91,1,1990,44.91,54.49,0.6,Golden Era
The Big Boss Man,7,166,147,19,0,1990,88.55,11.45,0.0,Golden Era
Earthquake,8,163,112,51,0,1990,68.71,31.29,0.0,Golden Era
Jim Duggan,9,161,83,69,9,1990,51.55,42.86,5.59,Golden Era
Smash,10,159,62,78,19,1990,38.99,49.06,11.95,Golden Era
Jim Neidhart,11,157,91,42,24,1990,57.96,26.75,15.29,Golden Era
Hercules,12,155,99,51,5,1990,63.87,32.9,3.23,Golden Era
The Warlord,13,154,100,53,1,1990,64.94,34.42,0.65,Golden Era
Haku,14,153,73,77,3,1990,47.71,50.33,1.96,Golden Era
Greg Valentine,15,150,53,89,8,1990,35.33,59.33,5.33,Golden Era
Paul Roma,16,146,86,57,3,1990,58.9,39.04,2.05,Golden Era
Dusty Rhodes,17,143,88,54,1,1990,61.54,37.76,0.7,Golden Era
Jake Roberts,18,143,120,23,0,1990,83.92,16.08,0.0,Golden Era
Jimmy Snuka,19,143,80,62,1,1990,55.94,43.36,0.7,Golden Era
Tugboat,20,143,131,12,0,1990,91.61,8.39,0.0,Golden Era
Randy Savage,21,142,41,101,0,1990,28.87,71.13,0.0,Golden Era
Dino Bravo,22,140,47,90,3,1990,33.57,64.29,2.14,Golden Era
Shawn Michaels,23,139,107,24,8,1990,76.98,17.27,5.76,Golden Era
Tito Santana,24,138,56,80,2,1990,40.58,57.97,1.45,Golden Era
The Honky Tonk Man,25,137,44,88,5,1990,32.12,64.23,3.65,Golden Era
Black Bart,26,136,22,114,0,1990,16.18,83.82,0.0,Golden Era
Koko B. Ware,27,134,108,26,0,1990,80.6,19.4,0.0,Golden Era
Buddy Rose,28,133,13,120,0,1990,9.77,90.23,0.0,Golden Era
Tanaka,29,132,60,72,0,1990,45.45,54.55,0.0,Golden Era
The Brooklyn Brawler,30,132,33,96,3,1990,25.0,72.73,2.27,Golden Era
Luke,31,128,88,39,1,1990,68.75,30.47,0.78,Golden Era
Butch,32,126,86,39,1,1990,68.25,30.95,0.79,Golden Era
Nikolai Volkoff,33,114,47,67,0,1990,41.23,58.77,0.0,Golden Era
Ax,34,113,35,63,15,1990,30.97,55.75,13.27,Golden Era
Ronnie Garvin,35,113,57,50,6,1990,50.44,44.25,5.31,Golden Era
Rick Martel,36,110,85,22,3,1990,77.27,20.0,2.73,Golden Era
The Genius,37,106,21,84,1,1990,19.81,79.25,0.94,Golden Era
Sato,38,105,54,51,0,1990,51.43,48.57,0.0,Golden Era
Boris Zhukov,39,104,13,91,0,1990,12.5,87.5,0.0,Golden Era
Bad News Brown,40,101,37,55,9,1990,36.63,54.46,8.91,Golden Era
Rick Rude,41,101,23,72,6,1990,22.77,71.29,5.94,Golden Era
Bob Bradley,42,94,6,88,0,1990,6.38,93.62,0.0,Golden Era
The Texas Tornado,43,90,59,26,5,1990,65.56,28.89,5.56,Golden Era
Crush,44,88,43,45,0,1990,48.86,51.14,0.0,Golden Era
Akeem,45,86,40,46,0,1990,46.51,53.49,0.0,Golden Era
Jim Brunzell,46,86,34,52,0,1990,39.53,60.47,0.0,Golden Era
Paul Diamond,47,85,26,59,0,1990,30.59,69.41,0.0,Golden Era
Shane Douglas,48,85,65,15,5,1990,76.47,17.65,5.88,Golden Era
Pez Whatley,49,84,11,73,0,1990,13.1,86.9,0.0,Golden Era
Hulk Hogan,50,79,64,15,0,1990,81.01,18.99,0.0,Golden Era
Jim Powers,51,79,11,68,0,1990,13.92,86.08,0.0,Golden Era
Brutus Beefcake,52,77,53,22,2,1990,68.83,28.57,2.6,Golden Era
Road Warrior Hawk,53,77,76,1,0,1990,98.7,1.3,0.0,Golden Era
Sgt. Slaughter,54,76,74,2,0,1990,97.37,2.63,0.0,Golden Era
Road Warrior Animal,55,74,73,1,0,1990,98.65,1.35,0.0,Golden Era
Goldust,56,60,43,17,0,1990,71.67,28.33,0.0,Golden Era
Al Perez,57,55,34,20,1,1990,61.82,36.36,1.82,Golden Era
Roddy Piper,58,51,36,8,7,1990,70.59,15.69,13.73,Golden Era
The British Bulldog,59,51,47,3,1,1990,92.16,5.88,1.96,Golden Era
Iron Mike Sharpe,60,50,2,48,0,1990,4.0,96.0,0.0,Golden Era
Sapphire,61,50,32,18,0,1990,64.0,36.0,0.0,Golden Era
The Red Rooster,62,49,16,32,1,1990,32.65,65.31,2.04,Golden Era
Queen Sherri,63,45,17,28,0,1990,37.78,62.22,0.0,Golden Era
Bret Hart,1,196,170,16,10,1991,86.73,8.16,5.1,Golden Era
The Big Boss Man,2,195,137,56,2,1991,70.26,28.72,1.03,Golden Era
The Undertaker,3,190,102,86,2,1991,53.68,45.26,1.05,Golden Era
Earthquake,4,185,67,117,1,1991,36.22,63.24,0.54,Golden Era
Ted DiBiase,5,184,103,75,6,1991,55.98,40.76,3.26,Golden Era
Jim Duggan,6,181,117,61,3,1991,64.64,33.7,1.66,Golden Era
Road Warrior Animal,7,179,168,8,3,1991,93.85,4.47,1.68,Golden Era
The Mountie,8,175,94,77,4,1991,53.71,44.0,2.29,Golden Era
Luke,9,174,76,98,0,1991,43.68,56.32,0.0,Golden Era
Butch,10,172,73,99,0,1991,42.44,57.56,0.0,Golden Era
The British Bulldog,11,169,121,33,15,1991,71.6,19.53,8.88,Golden Era
Jerry Sags,12,167,89,76,2,1991,53.29,45.51,1.2,Golden Era
The Texas Tornado,13,165,114,21,30,1991,69.09,12.73,18.18,Golden Era
Jake Roberts,14,160,84,75,1,1991,52.5,46.88,0.62,Golden Era
Irwin R. Schyster,15,156,119,28,9,1991,76.28,17.95,5.77,Golden Era
Marty Jannetty,16,156,95,58,3,1991,60.9,37.18,1.92,Golden Era
Brian Knobbs,17,155,84,68,3,1991,54.19,43.87,1.94,Golden Era
Road Warrior Hawk,18,154,142,9,3,1991,92.21,5.84,1.95,Golden Era
The Warlord,19,152,52,66,34,1991,34.21,43.42,22.37,Golden Era
Kato,20,147,15,132,0,1991,10.2,89.8,0.0,Golden Era
Greg Valentine,21,146,71,73,2,1991,48.63,50.0,1.37,Golden Era
The Barbarian,22,146,49,95,2,1991,33.56,65.07,1.37,Golden Era
Virgil,23,139,69,69,1,1991,49.64,49.64,0.72,Golden Era
Shawn Michaels,24,137,83,49,5,1991,60.58,35.77,3.65,Golden Era
The Berzerker,25,136,94,39,3,1991,69.12,28.68,2.21,Golden Era
Hercules,26,134,32,100,2,1991,23.88,74.63,1.49,Golden Era
Sgt. Slaughter,27,127,81,46,0,1991,63.78,36.22,0.0,Golden Era
Jimmy Snuka,28,112,56,55,1,1991,50.0,49.11,0.89,Golden Era
Jim Neidhart,29,106,77,27,2,1991,72.64,25.47,1.89,Golden Era
Paul Roma,30,103,21,79,3,1991,20.39,76.7,2.91,Golden Era
Tanaka,31,103,14,89,0,1991,13.59,86.41,0.0,Golden Era
The Ultimate Warrior,32,103,73,30,0,1991,70.87,29.13,0.0,Golden Era
Hulk Hogan,33,101,84,17,0,1991,83.17,16.83,0.0,Golden Era
Typhoon,34,100,36,62,2,1991,36.0,62.0,2.0,Golden Era
Col. Mustafa,35,99,33,66,0,1991,33.33,66.67,0.0,Golden Era
Koko B. Ware,36,97,22,75,0,1991,22.68,77.32,0.0,Golden Era
The Dragon,37,97,92,1,4,1991,94.85,1.03,4.12,Golden Era
Mr. Perfect,38,89,34,49,6,1991,38.2,55.06,6.74,Golden Era
Beau Beverly,39,88,72,15,1,1991,81.82,17.05,1.14,Golden Era
Blake Beverly,40,88,70,17,1,1991,79.55,19.32,1.14,Golden Era
Roddy Piper,41,88,52,36,0,1991,59.09,40.91,0.0,Golden Era
The Brooklyn Brawler,42,81,4,77,0,1991,4.94,95.06,0.0,Golden Era
Skinner,43,76,26,47,3,1991,34.21,61.84,3.95,Golden Era
Tugboat,44,72,24,48,0,1991,33.33,66.67,0.0,Golden Era
Haku,45,71,8,63,0,1991,11.27,88.73,0.0,Golden Era
Smash,46,69,11,58,0,1991,15.94,84.06,0.0,Golden Era
Ric Flair,47,66,38,28,0,1991,57.58,42.42,0.0,Golden Era
El Matador,48,65,54,8,3,1991,83.08,12.31,4.62,Golden Era
Rick Martel,49,56,9,45,2,1991,16.07,80.36,3.57,Golden Era
Dino Bravo,50,51,5,46,0,1991,9.8,90.2,0.0,Golden Era
Randy Savage,51,50,38,12,0,1991,76.0,24.0,0.0,Golden Era
Crush,52,45,7,38,0,1991,15.56,84.44,0.0,Golden Era
Jim Powers,53,45,10,35,0,1991,22.22,77.78,0.0,Golden Era
Bret Hart,1,201,187,13,1,1992,93.03,6.47,0.5,Golden Era
Repo Man,2,188,69,118,1,1992,36.7,62.77,0.53,Golden Era
Shawn Michaels,3,177,89,84,4,1992,50.28,47.46,2.26,Golden Era
El Matador,4,172,100,55,17,1992,58.14,31.98,9.88,Golden Era
Ric Flair,5,170,36,132,2,1992,21.18,77.65,1.18,Golden Era
Virgil,6,170,84,86,0,1992,49.41,50.59,0.0,Golden Era
Irwin R. Schyster,7,166,71,84,11,1992,42.77,50.6,6.63,Golden Era
Ted DiBiase,8,163,55,96,12,1992,33.74,58.9,7.36,Golden Era
Skinner,9,162,35,126,1,1992,21.6,77.78,0.62,Golden Era
Rick Martel,10,159,95,62,2,1992,59.75,38.99,1.26,Golden Era
Tatanka,11,158,144,14,0,1992,91.14,8.86,0.0,Golden Era
The Undertaker,12,158,142,8,8,1992,89.87,5.06,5.06,Golden Era
Randy Savage,13,157,114,41,2,1992,72.61,26.11,1.27,Golden Era
Owen Hart,14,156,96,59,1,1992,61.54,37.82,0.64,Golden Era
Earthquake,15,154,117,37,0,1992,75.97,24.03,0.0,Golden Era
Papa Shango,16,145,33,109,3,1992,22.76,75.17,2.07,Golden Era
Typhoon,17,145,106,39,0,1992,73.1,26.9,0.0,Golden Era
Blake Beverly,18,143,40,102,1,1992,27.97,71.33,0.7,Golden Era
The Mountie,19,139,52,87,0,1992,37.41,62.59,0.0,Golden Era
Jerry Sags,20,138,72,62,4,1992,52.17,44.93,2.9,Golden Era
Beau Beverly,21,137,39,97,1,1992,28.47,70.8,0.73,Golden Era
Brian Knobbs,22,131,67,60,4,1992,51.15,45.8,3.05,Golden Era
Crush,23,130,128,0,2,1992,98.46,0.0,1.54,Golden Era
The Big Boss Man,24,122,86,36,0,1992,70.49,29.51,0.0,Golden Era
Kato,25,121,9,112,0,1992,7.44,92.56,0.0,Golden Era
Koko B. Ware,26,113,58,54,1,1992,51.33,47.79,0.88,Golden Era
Nailz,27,109,50,55,4,1992,45.87,50.46,3.67,Golden Era
The British Bulldog,28,109,97,11,1,1992,88.99,10.09,0.92,Golden Era
The Berzerker,29,108,25,83,0,1992,23.15,76.85,0.0,Golden Era
Jim Duggan,30,104,61,41,2,1992,58.65,39.42,1.92,Golden Era
Sgt. Slaughter,31,104,45,59,0,1992,43.27,56.73,0.0,Golden Era
Road Warrior Animal,32,102,99,3,0,1992,97.06,2.94,0.0,Golden Era
Jim Powers,33,102,28,74,0,1992,27.45,72.55,0.0,Golden Era
The Brooklyn Brawler,34,101,3,98,0,1992,2.97,97.03,0.0,Golden Era
Kamala,35,97,39,58,0,1992,40.21,59.79,0.0,Golden Era
The Ultimate Warrior,36,88,86,1,1,1992,97.73,1.14,1.14,Golden Era
Razor Ramon,37,80,62,17,1,1992,77.5,21.25,1.25,Golden Era
Road Warrior Hawk,38,76,73,3,0,1992,96.05,3.95,0.0,Golden Era
Luke,39,75,50,25,0,1992,66.67,33.33,0.0,Golden Era
Butch,40,73,47,26,0,1992,64.38,35.62,0.0,Golden Era
Jim Brunzell,41,66,15,51,0,1992,22.73,77.27,0.0,Golden Era
Sid Justice,42,58,15,35,8,1992,25.86,60.34,13.79,Golden Era
Roddy Piper,43,54,40,14,0,1992,74.07,25.93,0.0,Golden Era
The Texas Tornado,44,54,33,21,0,1992,61.11,38.89,0.0,Golden Era
Barry Horowitz,45,53,0,53,0,1992,0.0,100.0,0.0,Golden Era
Chris Walker,46,49,24,24,1,1992,48.98,48.98,2.04,Golden Era
The Warlord,47,45,28,15,2,1992,62.22,33.33,4.44,Golden Era
Yokozuna,1,203,114,89,0,1993,56.16,43.84,0.0,New Generation Era
Bam Bam Bigelow,2,186,94,81,11,1993,50.54,43.55,5.91,New Generation Era
Rick Steiner,3,182,173,9,0,1993,95.05,4.95,0.0,New Generation Era
Scott Steiner,4,180,171,8,1,1993,95.0,4.44,0.56,New Generation Era
Doink,5,179,93,74,12,1993,51.96,41.34,6.7,New Generation Era
Fatu,6,178,116,44,18,1993,65.17,24.72,10.11,New Generation Era
Samu,7,177,115,44,18,1993,64.97,24.86,10.17,New Generation Era
Irwin R. Schyster,8,174,57,113,4,1993,32.76,64.94,2.3,New Generation Era
Tatanka,9,174,149,7,18,1993,85.63,4.02,10.34,New Generation Era
Razor Ramon,10,169,115,50,4,1993,68.05,29.59,2.37,New Generation Era
Bret Hart,11,165,139,26,0,1993,84.24,15.76,0.0,New Generation Era
The Undertaker,12,161,144,16,1,1993,89.44,9.94,0.62,New Generation Era
Mr. Perfect,13,152,115,29,8,1993,75.66,19.08,5.26,New Generation Era
Shawn Michaels,14,142,73,62,7,1993,51.41,43.66,4.93,New Generation Era
Lex Luger,15,133,87,42,4,1993,65.41,31.58,3.01,New Generation Era
Virgil,16,126,77,49,0,1993,61.11,38.89,0.0,New Generation Era
Bob Backlund,17,125,93,30,2,1993,74.4,24.0,1.6,New Generation Era
Owen Hart,18,124,93,31,0,1993,75.0,25.0,0.0,New Generation Era
Crush,19,116,85,21,10,1993,73.28,18.1,8.62,New Generation Era
Damien DeMento,20,111,26,84,1,1993,23.42,75.68,0.9,New Generation Era
Billy Gunn,21,103,55,48,0,1993,53.4,46.6,0.0,New Generation Era
El Matador,22,103,58,43,2,1993,56.31,41.75,1.94,New Generation Era
Bart Gunn,23,101,54,47,0,1993,53.47,46.53,0.0,New Generation Era
Papa Shango,24,99,26,73,0,1993,26.26,73.74,0.0,New Generation Era
The 1-2-3 Kid,25,99,67,29,3,1993,67.68,29.29,3.03,New Generation Era
Bastion Booger,26,94,44,49,1,1993,46.81,52.13,1.06,New Generation Era
Blake Beverly,27,93,6,87,0,1993,6.45,93.55,0.0,New Generation Era
Ted DiBiase,28,92,32,60,0,1993,34.78,65.22,0.0,New Generation Era
Adam Bomb,29,90,52,38,0,1993,57.78,42.22,0.0,New Generation Era
Marty Jannetty,30,90,40,48,2,1993,44.44,53.33,2.22,New Generation Era
Terry Taylor,31,90,21,69,0,1993,23.33,76.67,0.0,New Generation Era
Kamala,32,83,47,36,0,1993,56.63,43.37,0.0,New Generation Era
The Brooklyn Brawler,33,81,17,64,0,1993,20.99,79.01,0.0,New Generation Era
Randy Savage,34,74,39,29,6,1993,52.7,39.19,8.11,New Generation Era
Ludvig Borga,35,71,25,45,1,1993,35.21,63.38,1.41,New Generation Era
Jim Duggan,36,70,27,43,0,1993,38.57,61.43,0.0,New Generation Era
Jim Powers,37,67,16,51,0,1993,23.88,76.12,0.0,New Generation Era
Jacques,38,65,23,42,0,1993,35.38,64.62,0.0,New Generation Era
Typhoon,39,65,39,26,0,1993,60.0,40.0,0.0,New Generation Era
Mr. Hughes,40,63,46,16,1,1993,73.02,25.4,1.59,New Generation Era
Mo,41,62,50,12,0,1993,80.65,19.35,0.0,New Generation Era
Mabel,42,61,48,13,0,1993,78.69,21.31,0.0,New Generation Era
Jerry Sags,43,59,26,15,18,1993,44.07,25.42,30.51,New Generation Era
Pierre,44,59,23,36,0,1993,38.98,61.02,0.0,New Generation Era
Kevin Nash,45,58,19,39,0,1993,32.76,67.24,0.0,New Generation Era
Beau Beverly,46,56,1,55,0,1993,1.79,98.21,0.0,New Generation Era
Brian Knobbs,47,53,19,16,18,1993,35.85,30.19,33.96,New Generation Era
Giant Gonzalez,48,51,11,37,3,1993,21.57,72.55,5.88,New Generation Era
Rick Martel,49,51,19,31,1,1993,37.25,60.78,1.96,New Generation Era
Skinner,50,51,25,26,0,1993,49.02,50.98,0.0,New Generation Era
Barry Horowitz,51,45,2,42,1,1993,4.44,93.33,2.22,New Generation Era
Reno Riggins,52,45,1,44,0,1993,2.22,97.78,0.0,New Generation Era
Butch,53,44,35,9,0,1993,79.55,20.45,0.0,New Generation Era
Luke,54,44,35,9,0,1993,79.55,20.45,0.0,New Generation Era
Owen Hart,1,192,69,121,2,1994,35.94,63.02,1.04,New Generation Era
Jeff Jarrett,2,179,121,55,3,1994,67.6,30.73,1.68,New Generation Era
Tatanka,3,178,82,64,32,1994,46.07,35.96,17.98,New Generation Era
Lex Luger,4,177,133,17,27,1994,75.14,9.6,15.25,New Generation Era
Razor Ramon,5,170,144,21,5,1994,84.71,12.35,2.94,New Generation Era
Bret Hart,6,167,159,7,1,1994,95.21,4.19,0.6,New Generation Era
Yokozuna,7,164,66,94,4,1994,40.24,57.32,2.44,New Generation Era
The 1-2-3 Kid,8,160,80,77,3,1994,50.0,48.12,1.88,New Generation Era
Doink,9,159,76,83,0,1994,47.8,52.2,0.0,New Generation Era
Adam Bomb,10,157,95,60,2,1994,60.51,38.22,1.27,New Generation Era
Bam Bam Bigelow,11,157,79,76,2,1994,50.32,48.41,1.27,New Generation Era
Irwin R. Schyster,12,157,102,55,0,1994,64.97,35.03,0.0,New Generation Era
Kevin Nash,13,156,117,32,7,1994,75.0,20.51,4.49,New Generation Era
Kwang,14,155,59,94,2,1994,38.06,60.65,1.29,New Generation Era
Mabel,15,153,86,66,1,1994,56.21,43.14,0.65,New Generation Era
Fatu,16,142,93,49,0,1994,65.49,34.51,0.0,New Generation Era
Billy Gunn,17,141,99,40,2,1994,70.21,28.37,1.42,New Generation Era
Bart Gunn,18,134,98,34,2,1994,73.13,25.37,1.49,New Generation Era
Pierre,19,121,38,82,1,1994,31.4,67.77,0.83,New Generation Era
Samu,20,117,82,35,0,1994,70.09,29.91,0.0,New Generation Era
Alundra Blayze,21,108,103,3,2,1994,95.37,2.78,1.85,New Generation Era
Crush,22,104,33,70,1,1994,31.73,67.31,0.96,New Generation Era
Jim Neidhart,23,85,24,61,0,1994,28.24,71.76,0.0,New Generation Era
The Undertaker,24,85,84,1,0,1994,98.82,1.18,0.0,New Generation Era
Tom Prichard,25,82,33,48,1,1994,40.24,58.54,1.22,New Generation Era
Jacques,26,79,33,45,1,1994,41.77,56.96,1.27,New Generation Era
Shawn Michaels,27,78,37,41,0,1994,47.44,52.56,0.0,New Generation Era
Luke,28,77,63,14,0,1994,81.82,18.18,0.0,New Generation Era
Duke Droese,29,76,59,17,0,1994,77.63,22.37,0.0,New Generation Era
Butch,30,74,60,14,0,1994,81.08,18.92,0.0,New Generation Era
Bob Backlund,31,73,34,39,0,1994,46.58,53.42,0.0,New Generation Era
Jimmy del Ray,32,73,33,39,1,1994,45.21,53.42,1.37,New Generation Era
Sparky Plugg,33,73,54,19,0,1994,73.97,26.03,0.0,New Generation Era
Randy Savage,34,64,42,22,0,1994,65.62,34.38,0.0,New Generation Era
Steven Dunn,35,63,8,55,0,1994,12.7,87.3,0.0,New Generation Era
Timothy Well,36,62,8,54,0,1994,12.9,87.1,0.0,New Generation Era
Bull Nakano,37,53,5,46,2,1994,9.43,86.79,3.77,New Generation Era
Mo,38,53,27,26,0,1994,50.94,49.06,0.0,New Generation Era
The British Bulldog,39,53,48,2,3,1994,90.57,3.77,5.66,New Generation Era
Bob Holly,40,47,31,15,1,1994,65.96,31.91,2.13,New Generation Era
Rick Martel,41,43,8,32,3,1994,18.6,74.42,6.98,New Generation Era
Bastion Booger,42,42,9,33,0,1994,21.43,78.57,0.0,New Generation Era
Jim Powers,43,42,2,40,0,1994,4.76,95.24,0.0,New Generation Era
Owen Hart,1,171,72,94,5,1995,42.11,54.97,2.92,New Generation Era
Razor Ramon,2,170,125,39,6,1995,73.53,22.94,3.53,New Generation Era
The British Bulldog,3,162,84,68,10,1995,51.85,41.98,6.17,New Generation Era
Bret Hart,4,150,138,8,4,1995,92.0,5.33,2.67,New Generation Era
Hakushi,5,148,89,59,0,1995,60.14,39.86,0.0,New Generation Era
Kevin Nash,6,143,119,21,3,1995,83.22,14.69,2.1,New Generation Era
The Undertaker,7,138,125,10,3,1995,90.58,7.25,2.17,New Generation Era
Billy Gunn,8,137,119,16,2,1995,86.86,11.68,1.46,New Generation Era
Bart Gunn,9,136,118,16,2,1995,86.76,11.76,1.47,New Generation Era
Kama,10,132,43,87,2,1995,32.58,65.91,1.52,New Generation Era
Shawn Michaels,11,124,103,16,5,1995,83.06,12.9,4.03,New Generation Era
Henry O. Godwinn,12,123,60,55,8,1995,48.78,44.72,6.5,New Generation Era
Bob Holly,13,116,34,82,0,1995,29.31,70.69,0.0,New Generation Era
Fatu,14,115,56,44,15,1995,48.7,38.26,13.04,New Generation Era
The 1-2-3 Kid,15,115,56,59,0,1995,48.7,51.3,0.0,New Generation Era
Yokozuna,16,114,49,63,2,1995,42.98,55.26,1.75,New Generation Era
Bam Bam Bigelow,17,113,57,54,2,1995,50.44,47.79,1.77,New Generation Era
Sid,18,108,31,76,1,1995,28.7,70.37,0.93,New Generation Era
Savio Vega,19,106,86,17,3,1995,81.13,16.04,2.83,New Generation Era
Skip,20,106,51,54,1,1995,48.11,50.94,0.94,New Generation Era
Jeff Jarrett,21,104,27,76,1,1995,25.96,73.08,0.96,New Generation Era
Aldo Montoya,22,101,30,70,1,1995,29.7,69.31,0.99,New Generation Era
Triple H,23,99,81,15,3,1995,81.82,15.15,3.03,New Generation Era
Lex Luger,24,96,59,30,7,1995,61.46,31.25,7.29,New Generation Era
Eli Blu,25,95,43,45,7,1995,45.26,47.37,7.37,New Generation Era
Jacob Blu,26,93,42,44,7,1995,45.16,47.31,7.53,New Generation Era
Jean-Pierre LaFitte,27,93,73,18,2,1995,78.49,19.35,2.15,New Generation Era
Tatanka,28,93,20,66,7,1995,21.51,70.97,7.53,New Generation Era
Barry Horowitz,29,91,29,62,0,1995,31.87,68.13,0.0,New Generation Era
Bob Backlund,30,82,35,46,1,1995,42.68,56.1,1.22,New Generation Era
Adam Bomb,31,80,52,25,3,1995,65.0,31.25,3.75,New Generation Era
Rad Radford,32,80,15,65,0,1995,18.75,81.25,0.0,New Generation Era
King Kong Bundy,33,77,36,39,2,1995,46.75,50.65,2.6,New Generation Era
Alundra Blayze,34,73,35,38,0,1995,47.95,52.05,0.0,New Generation Era
Duke Droese,35,73,31,42,0,1995,42.47,57.53,0.0,New Generation Era
King Mabel,36,67,16,49,2,1995,23.88,73.13,2.99,New Generation Era
Kane,37,61,19,42,0,1995,31.15,68.85,0.0,New Generation Era
Man Mountain Rock,38,61,41,20,0,1995,67.21,32.79,0.0,New Generation Era
Bertha Faye,39,54,23,31,0,1995,42.59,57.41,0.0,New Generation Era
Doink,40,52,18,33,1,1995,34.62,63.46,1.92,New Generation Era
Mabel,41,49,36,12,1,1995,73.47,24.49,2.04,New Generation Era
Goldust,42,48,46,2,0,1995,95.83,4.17,0.0,New Generation Era
